local_path,description,room_type,wc,caption,tokens
images/home-office/home-office_00740.jpg,freestanding desk carpeted and beige floor study room with white walls,home-office,11,freestanding desk carpeted and beige floor study room with white walls,"[1, 1498, 1021, 585, 137, 345, 1440, 3607, 3160, 4147, 4120, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_02998.jpg,Hot tub - backyard tile and l-shaped hot tub idea,pool,10,hot tub backyard tile and l shaped hot tub idea,"[1, 1809, 3884, 265, 3782, 137, 2065, 3318, 1809, 3884, 1833, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_02439.jpg,Pool house - indoor tile and rectangular lap pool house idea,pool,11,pool house indoor tile and rectangular lap pool house idea,"[1, 2848, 1811, 1879, 3782, 137, 3020, 2095, 2848, 1811, 1833, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/kitchen/kitchen_00862.jpg,"1960s u-shaped light wood floor and brown floor kitchen with an undermount sink, flat-panel cabinets, white cabinets, white backsplash, stainless steel appliances, an island and white countertops",kitchen,27,s u shaped light wood floor and brown floor kitchen with an undermount sink flat panel cabinets white cabinets white backsplash stainless steel appliances an island and white countertops,"[1, 3188, 3907, 3318, 2167, 4154, 1440, 137, 489, 1440, 2042, 4147, 133, 3912, 3386, 1429, 2699, 536, 4120, 536, 4120, 263, 3524, 3555, 174, 133, 1938, 137, 4120, 873, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_02841.jpg,Pool landscaping - backyard stone and rectangular pool landscaping idea,pool,10,pool landscaping backyard stone and rectangular pool landscaping idea,"[1, 2848, 2087, 265, 3571, 137, 3020, 2848, 2087, 1833, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_00348.jpg,"medium tone wood floor, brown floor, exposed beam and vaulted ceiling living room with white walls",living-room,16,medium tone wood floor brown floor exposed beam and vaulted ceiling living room with white walls,"[1, 2365, 3809, 4154, 1440, 489, 1440, 1314, 324, 137, 3981, 615, 2204, 3160, 4147, 4120, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_01115.jpg,Complete pool in just 3 weeks on Indian rocks beach fl. The pool tile and deck were replaced along with the pool finish. Island style pool,pool,26,complete pool in just weeks on indian rocks beach fl the pool tile and deck were replaced along with the pool finish island style pool,"[1, 787, 2848, 1858, 2008, 4089, 2601, 1874, 3, 319, 1421, 3738, 2848, 3782, 137, 981, 4101, 3083, 109, 4147, 3738, 2848, 1395, 1938, 3610, 2848, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/living-room/living-room_03117.jpg,model unit open concept light wood floor living room with gray walls,living-room,12,model unit open concept light wood floor living room with gray walls,"[1, 2430, 3922, 2609, 798, 2167, 4154, 1440, 2204, 3160, 4147, 1629, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/pool/poolroom_00066.jpg,backyard stamped concrete and rectangular pool,pool,6,backyard stamped concrete and rectangular pool,"[1, 265, 3529, 799, 137, 3020, 2848, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
images/bedroom/bedroom_01434.jpg,master dark wood floor bedroom with gray walls,bedroom,8,master dark wood floor bedroom with gray walls,"[1, 2324, 964, 4154, 1440, 337, 4147, 1629, 4048, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
